upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
IrishMarineInstitute/WW3,IrishMarineInstitute.WW3,core,Marine Institute,high,develop,false,84247,https://github.com/IrishMarineInstitute/WW3.git,https://github.com/IrishMarineInstitute/WW3,2026-08-11,2026-09-04,2026-08-27,2025-02-14T21:48:40Z,2025-02-14T21:48:40Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/zapidox,IrishMarineInstitute.zapidox,core,Marine Institute,high,master,false,373,https://github.com/IrishMarineInstitute/zapidox.git,https://github.com/IrishMarineInstitute/zapidox,2026-08-11,2026-09-04,2026-08-26,2021-11-19T11:18:51Z,2021-11-19T11:18:51Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
MetEireann/GitTest,MetEireann.GitTest,core,Met Éireann,high,main,false,0,https://github.com/MetEireann/GitTest.git,https://github.com/MetEireann/GitTest,2026-08-11,2026-09-04,2026-08-26,2026-06-03T12:36:15Z,2026-06-03T12:36:15Z,active,unknown,,https://github.com/MetEireann
MetEireann/Process_FSU_catchment_boundaries_preANDpost2025,MetEireann.Process_FSU_catchment_boundaries_preANDpost2025,core,Met Éireann,high,main,false,1,https://github.com/MetEireann/Process_FSU_catchment_boundaries_preANDpost2025.git,https://github.com/MetEireann/Process_FSU_catchment_boundaries_preANDpost2025,2026-08-11,2026-09-04,2026-08-26,2026-04-07T12:46:58Z,2026-04-07T12:46:58Z,active,unknown,,https://github.com/MetEireann
MetEireann/Wave-QC,MetEireann.Wave-QC,core,Met Éireann,high,main,false,126,https://github.com/MetEireann/Wave-QC.git,https://github.com/MetEireann/Wave-QC,2026-08-11,2026-09-04,2026-08-26,2022-03-21T09:14:33Z,2022-03-21T09:14:33Z,active,unknown,,https://github.com/MetEireann
ogcio/govie-ds,ogcio.govie-ds,core,Office of the Government Chief Information Officer,high,main,false,94060,https://github.com/ogcio/govie-ds.git,https://github.com/ogcio/govie-ds,2026-08-11,2026-09-04,2026-08-28,2026-08-28T09:40:33Z,2026-09-04T10:50:30Z,active,unknown,,https://government.github.com/community/
ogcio/govie-messagingie,ogcio.govie-messagingie,core,Office of the Government Chief Information Officer,high,main,false,26823,https://github.com/ogcio/govie-messagingie.git,https://github.com/ogcio/govie-messagingie,2026-08-11,2026-09-04,2026-08-27,2026-08-25T11:06:59Z,2026-08-25T11:06:59Z,active,unknown,pushed-via-private-visibility (GH013 push protection; upstream history contains Google OAuth credentials),https://government.github.com/community/
ogcio/logto,ogcio.logto,core,Office of the Government Chief Information Officer,high,dev,true,85387,https://github.com/ogcio/logto.git,https://github.com/ogcio/logto,2026-08-11,2026-09-04,2026-08-27,2026-02-12T07:35:01Z,2026-02-12T07:35:01Z,active,unknown,,https://government.github.com/community/
ogcio/unleash,ogcio.unleash,core,Office of the Government Chief Information Officer,high,dev,false,255421,https://github.com/ogcio/unleash.git,https://github.com/ogcio/unleash,2026-08-11,2026-09-04,2026-08-27,2026-06-17T16:59:29Z,2026-06-17T16:59:29Z,active,unknown,,https://government.github.com/community/
ogcio/wagtail-sitemap-seo,ogcio.wagtail-sitemap-seo,core,Office of the Government Chief Information Officer,high,fix/http-sitemap,false,81,https://github.com/ogcio/wagtail-sitemap-seo.git,https://github.com/ogcio/wagtail-sitemap-seo,2026-08-11,2026-09-04,2026-08-26,2026-03-24T09:26:46Z,2026-03-24T09:26:46Z,active,unknown,,https://government.github.com/community/
ogcio/wagtail-tinymce-table,ogcio.wagtail-tinymce-table,core,Office of the Government Chief Information Officer,high,master,false,151,https://github.com/ogcio/wagtail-tinymce-table.git,https://github.com/ogcio/wagtail-tinymce-table,2026-08-11,2026-09-04,2026-08-26,2026-07-09T12:16:35Z,2026-07-09T12:16:35Z,active,unknown,,https://government.github.com/community/
Oireachtas/akqa-nz-silverstripe-cacheinclude,Oireachtas.akqa-nz-silverstripe-cacheinclude,core,Houses of the Oireachtas,high,main,false,214,https://github.com/Oireachtas/akqa-nz-silverstripe-cacheinclude.git,https://github.com/Oireachtas/akqa-nz-silverstripe-cacheinclude,2026-08-11,2026-09-04,2026-08-26,2026-03-02T10:00:08Z,2026-03-02T10:00:08Z,active,unknown,,https://github.com/Oireachtas
Oireachtas/api,Oireachtas.api,core,Houses of the Oireachtas,high,master,false,206983,https://github.com/Oireachtas/api.git,https://github.com/Oireachtas/api,2026-08-11,2026-09-04,2026-08-27,2016-11-02T16:18:01Z,2016-11-02T16:18:01Z,active,unknown,,https://github.com/Oireachtas
Oireachtas/bills,Oireachtas.bills,core,Houses of the Oireachtas,high,master,false,3281,https://github.com/Oireachtas/bills.git,https://github.com/Oireachtas/bills,2026-08-11,2026-09-04,2026-08-26,2016-10-17T16:04:22Z,2016-10-17T16:04:22Z,active,unknown,,https://github.com/Oireachtas
